word	frq	familiarity	imageability	concreteness	
escritor	6.077539	6.090	6.036	5.846	
pasaje	4.865988	5.027	4.454	4.272	
príncipe	8.362180	5.547	5.865	5.760	
molino	1.676392	5.688	6.098	5.540	
entero	20.329344	6.255	4.035	3.370	
votar	3.763228	6.137	5.947	4.825	
revisión	4.272574	5.419	3.049	4.168	
longitud	1.829690	6.157	4.206	4.454	
lector	1.340125	4.970	4.942	5.351	
nieve	9.704777	5.436	6.286	6.299	
división	6.908318	5.404	5.341	4.166	
símbolo	6.265453	5.106	4.974	3.270	
vía	8.839383	5.738	5.802	3.914	
tránsito	2.890416	3.762	3.753	3.608	
dama	16.739195	3.607	5.467	4.594	
pierna	15.329839	6.484	5.868	6.290	
medalla	4.794283	5.806	6.391	5.628	
cable	8.226189	5.597	5.712	5.815	
oso	6.364356	5.517	5.342	6.383	
límite	11.180892	5.356	3.289	3.956	
lavandina
online
wifi
laburo
Netflix
tablet
